RAOB/CSV,Ballon Launch 08_14_2017,,,,,,,,,,
INFO:1,,,,,,,,,,,
INFO:2,,,,,,,,,,,
DTG,2017-08-14 13:00:00,,,,,,,,,,
LAT,50.3,S,,,,,,,,,
LON,72.8,W,,,,,,,,,
ELEV,5,M,,,,,,,,,
WMO,,,,,,,,,,,
TEMPERATURE,C,,,,,,,,,,
MOISTURE,RH,,,,,,,,,,
WIND,kts,,,,,,,,,,
GPM,MSL,,,,,,,,,,
MISSING,-999,,,,,,,,,,
SORT,YES,,,,,,,,,,
OZONE,mPa,,,,,,,,,,
RAOB/DATA,,,,,,,,,,,
PRES,TEMP,RH,WIND,SPEED,GPM,OZONE,OMEGA,CFRL,VapDen,LiqWat,WSPEED
342.53,-48.47,,219.193899,73.59262197,7742,,,,,,
340.78,-48.61,,220.5506249,73.30346917,7775,,,,,,
339.11,-48.78,,220.9815408,74.77823548,7809,,,,,,
337.41,-48.98,,221.4018174,73.82351692,7843,,,,,,
335.6,-49.07,,220.916444,71.65495513,7877,,,,,,
333.95,-49.23,,220.5953776,72.61496761,7910,,,,,,
332.21,-49.46,,220.5636508,74.28165815,7944,,,,,,
329.88,-49.45,,217.0621987,72.28672245,7994,,,,,,
327.64,-49.44,,221.2965875,73.70445589,8037,,,,,,
324.91,-49.54,,214.9252676,69.46350219,8097,,,,,,
322.14,-49.86,,218.1120247,62.55369348,8151,,,,,,
320.04,-49.96,,212.4481882,60.95746722,8188,,,,,,
318.28,-49.95,,214.3124508,58.78238499,8226,,,,,,
316.64,-49.94,,215.5604852,58.59699302,8259,,,,,,
314.94,-50.01,,217.6889361,56.26189825,8296,,,,,,
313.11,-49.6,,218.5292595,58.61910772,8334,,,,,,
311.45,-49.63,,218.4406349,59.06964687,8370,,,,,,
309.56,-49.76,,216.9325396,56.72336255,8411,,,,,,
307.59,-49.82,,216.7865931,55.00155869,8452,,,,,,
305.64,-50.02,,216.8201819,54.40679402,8493,,,,,,
303.49,-50.13,,215.8210054,53.20986124,8543,,,,,,
301.15,-50.4,,214.9266199,46.08227773,8590,,,,,,
299.24,-50.38,,215.3255644,46.7307018,8630,,,,,,
297.39,-50.32,,216.1565597,46.52679438,8671,,,,,,
295.45,-50.26,,216.1388511,46.19624224,8713,,,,,,
293.59,-50.58,,215.0893887,46.09497355,8757,,,,,,
291.42,-50.7,,213.3261555,45.91511998,8806,,,,,,
289.05,-51.1,,218.7465207,46.5625911,8858,,,,,,
287.15,-51.5,,220.3176336,51.07332499,8903,,,,,,
285.15,-51.7,,221.0486308,52.09277055,8945,,,,,,
283.45,-51.48,,223.5122298,50.75251392,8984,,,,,,
281.69,-51.65,,224.1331051,48.97185642,9023,,,,,,
280.03,-51.98,,222.6813155,50.30374626,9061,,,,,,
278.41,-52.13,,222.7689651,48.67314606,9101,,,,,,
276.81,-52.14,,221.1740274,46.84145458,9139,,,,,,
275.11,-52.31,,219.8589348,45.48377347,9178,,,,,,
273.43,-52.3,0.15,220.9042465,47.73298943,9219,,,,,,
271.72,-52.06,0.29,222.5422886,46.39160062,9261,,,,,,
269.36,-52.01,0.4,227.4935891,39.3941543,9324,,,,,,
266.75,-51.57,0.43,235.2555507,40.49695466,9380,,,,,,
265.03,-51.7,0.66,235.0278657,39.81619917,9420,,,,,,
263.4,-52.06,0.88,234.8714777,39.25025514,9459,,,,,,
261.88,-52.39,1.03,234.5552256,41.35897078,9497,,,,,,
260.35,-52.71,1.25,231.6726652,41.73505895,9533,,,,,,
258.86,-53,1.4,230.9422704,43.12740134,9570,,,,,,
257.52,-53.05,1.6,232.8123498,42.81923391,9603,,,,,,
256.1,-53.29,1.79,232.5685195,43.36048674,9638,,,,,,
254.71,-53.61,1.92,231.783133,43.43806509,9675,,,,,,
253.16,-53.89,2.14,232.5486852,43.2346891,9714,,,,,,
251.37,-54.24,2.24,231.811477,45.55496673,9763,,,,,,
249.54,-54.14,2.43,235.1237822,48.42084755,9808,,,,,,
248.42,-53.68,2.62,235.8919959,52.56001563,9837,,,,,,
247.34,-52.87,2.52,236.6622095,57.54463824,9858,,,,,,
246.55,-52.33,2.51,237.9048627,51.61714277,9879,,,,,,
245.72,-52.2,2.37,237.0571863,50.87049464,9902,,,,,,
245,-52.15,2.23,236.6850006,48.91727511,9921,,,,,,
244.27,-51.99,2.06,236.6101549,47.4513207,9944,,,,,,
