"TOA5","CR6PerlanScience","CR6","3222","CR6.Std.03.41","CPU:perlan.CR6","39859","Table1"
"TIMESTAMP","RECORD","AirTC","RH"
"TS","RN","Deg C","%"
"","","Smp","Smp"
"2018-09-02 12:01:17",426,6.11,64.21
"2018-09-02 12:01:18",427,6.025,64.15
"2018-09-02 12:01:19",428,6.099,64.06
"2018-09-02 12:01:20",429,6.107,64.17
"2018-09-02 12:01:21",430,6.02,64.14
"2018-09-02 12:01:22",431,6.102,64.2
"2018-09-02 12:01:23",432,6.024,64.15
"2018-09-02 12:01:24",433,6.118,64.22
"2018-09-02 12:01:25",434,6.026,64.16
"2018-09-02 12:01:26",435,6.093,64.25
"2018-09-02 12:01:27",436,6.111,64.17
"2018-09-02 12:01:28",437,6.016,64.15
"2018-09-02 12:01:29",438,6.12,64.22
"2018-09-02 12:01:30",439,6.018,64.15
"2018-09-02 12:01:31",440,6.114,64.21
"2018-09-02 12:01:32",441,6.087,64.37
"2018-09-02 12:01:33",442,6.017,64.1
"2018-09-02 12:01:34",443,6.105,64.17
"2018-09-02 12:01:35",444,6.015,64.12
"2018-09-02 12:01:36",445,6.127,64.2
"2018-09-02 12:01:37",446,6.016,64.12
"2018-09-02 12:01:38",447,6.035,64.1
"2018-09-02 12:01:39",448,6.102,64.15
"2018-09-02 12:01:40",449,6.018,64.12
"2018-09-02 12:01:41",450,6.125,64.19
"2018-09-02 12:01:42",451,6.018,64.12
"2018-09-02 12:01:43",452,6.057,64.18
"2018-09-02 12:01:44",453,6.203,64.29
"2018-09-02 12:01:45",454,6.028,64.1
"2018-09-02 12:01:46",455,6.096,64.16
"2018-09-02 12:01:47",456,6.024,64.12
"2018-09-02 12:01:48",457,6.116,64.19
"2018-09-02 12:01:49",458,6.02,64.12
"2018-09-02 12:01:50",459,6.057,64.17
"2018-09-02 12:01:51",460,6.195,64.3
"2018-09-02 12:01:52",461,6.024,64.11
"2018-09-02 12:01:53",462,6.096,64.18
"2018-09-02 12:01:54",463,6.027,64.12
"2018-09-02 12:01:55",464,6.116,64.18
"2018-09-02 12:01:56",465,6.026,64.12
"2018-09-02 12:01:57",466,6.058,64.18
"2018-09-02 12:01:58",467,6.194,64.28
"2018-09-02 12:01:59",468,6.02,64.08
"2018-09-02 12:02:00",469,6.098,64.16
"2018-09-02 12:02:01",470,6.022,64.12
"2018-09-02 12:02:02",471,6.118,64.19
"2018-09-02 12:02:03",472,6.025,64.12
"2018-09-02 12:02:04",473,6.046,64.17
"2018-09-02 12:02:05",474,6.027,64.12
"2018-09-02 12:02:06",475,6.018,64.09
"2018-09-02 12:02:07",476,6.104,64.16
"2018-09-02 12:02:08",477,6.018,64.12
"2018-09-02 12:02:09",478,6.121,64.19
"2018-09-02 12:02:10",479,6.019,64.12
"2018-09-02 12:02:11",480,6.093,64.22
"2018-09-02 12:02:12",481,6.152,64.11
"2018-09-02 12:02:13",482,6.016,64.11
"2018-09-02 12:02:14",483,6.128,64.19
"2018-09-02 12:02:15",484,6.016,64.12
"2018-09-02 12:02:16",485,6.122,64.19
"2018-09-02 12:02:17",486,6.017,64.28
"2018-09-02 12:02:18",487,6.02,64.1
"2018-09-02 12:02:19",488,6.098,64.17
